"imdb_title","original_title","release_year","genre1","genre2","genre3","duration","country","content_rating","director1","director2","income","votes","score"
"tt0180093","Requiem for a Dream","2000","Drama",NULL,NULL,"102","US","R","Darren Aronofsky",NULL,"7390108 ","748291","7.8"
"tt0066921","A Clockwork Orange","1972","Crime"," Drama"," Sci-Fi","136",NULL,"Unrated","Stanley Kubrick",NULL,"26903440 ","740301","7.8"
"tt0435761","Toy Story 3","2010","Animation"," Adventure"," Comedy","103","US","G","Lee Unkrich",NULL,"1066969703 ","739717","7.8"
"tt0086250","Scarface","1984","Crime"," Drama",NULL,"170","US","R","Brian De Palma",NULL,"66023585 ","721343","7.8"
"tt0075314","Taxi Driver","1976","Crime"," Drama",NULL,"114","US","R","Martin Scorsese",NULL,"28441292 ","703264","7.7"
"tt0211915","Le fabuleux destin d'AmÃ©lie Poulain","2002","Comedy"," Romance",NULL,"122","FR","R","Jean-Pierre Jeunet",NULL,"173924742 ","69048","7.7"
"tt0093058","Full Metal Jacket","1987","Drama"," War",NULL,"116",NULL,"Unrated","Stanley Kubrick",NULL,"46357676 ","658175","7.7"
"tt0090605","Aliens","1986","Action"," Adventure"," Sci-Fi","137","US","R","James Cameron",NULL,"131384634 ","6395","7.7"
"tt0062622","2001: A Space Odyssey","1968","Adventure"," Sci-Fi",NULL,"149",NULL,"G","Stanley Kubrick",NULL,"68989547 ","587866","7.6"
"tt0033467","Citizen Kane","1948","Drama"," Mystery",NULL,"119","US","Unrated","Orson Welles",NULL,"1594107 ","389322","7.6"
"tt8579674","1917","2020","Drama"," War",NULL,"119","US","Unrated","Sam Mendes",NULL,"384857224 ","362897","7.6"
"tt0086879","Amadeus","1985","Biography"," Drama"," History","160","US","R","Milos Forman",NULL,"52066791 ","361028","7.6"
"tt0052357","Vertigo","1958","Mystery"," Romance"," Thriller","128","US","Unrated","Alfred Hitchcock",NULL,"7796389 ","352786","7.5"
"tt0053125","North by Northwest","1959","Adventure"," Mystery"," Thriller","136","US","Unrated","Alfred Hitchcock",NULL,"73446 ","291628","7.5"
"tt2106476","Jagten","2012","Drama",NULL,NULL,"115","DK","R","Thomas Vinterberg",NULL,"15843274 ","269616","7.5"
"tt0056172","Lawrence of Arabia","1963","Adventure"," Biography"," Drama","228",NULL,"PG","David Lean",NULL,"45710874 ","261504","7.5"
"tt0070735","The Sting","1974","Comedy"," Crime"," Drama","129","US","PG","George Roy Hill",NULL,"156000000 ","236285","7.5"
"tt0082096","Das Boot","1982","Adventure"," Drama"," Thriller","149","DE","R","Wolfgang Petersen",NULL,"11487676 ","226427","7.5"
"tt0059578","Per qualche dollaro in piÃ¹","1965","Western",NULL,NULL,"132","IT","Unrated","Sergio Leone",NULL,"15000000 ","226039","7.4"
"tt1832382","Jodaeiye Nader az Simin","2011","Drama",NULL,NULL,"123","IR","PG-13","Asghar Farhadi",NULL,"22926076 ","214165","7.4"
"tt0045152","Singin' in the Rain","1953","Comedy"," Musical"," Romance","103","US","Unrated","Stanley Donen",NULL,"1864182 ","213152","7.4"
